sim_id,generator_model,fitted_model,wm_true,wp_true,offset_true,wm_hat,wp_hat,offset_hat,negloglik,bic,mse_bias_var,n_trials,success,fun
0,timing,counting,0.15,0.2,0.01,0.16119412622246376,0.2768649742559487,-0.02789653093855747,253.09485187091087,524.8335280370883,0.12191405340751871,500,True,253.09485187091087
0,timing,timing,0.15,0.2,0.01,0.135264367890648,0.19378612996979924,-0.008991544888464858,217.4605105274683,453.5648453502032,0.10497141686330247,500,True,217.4605105274683
1,timing,counting,0.15,0.2,0.01,0.200745188720778,0.26622202099046566,0.0021746369453055584,261.3477675549767,541.33935940522,0.2550592856666858,500,True,261.3477675549767
1,timing,timing,0.15,0.2,0.01,0.15873267007164432,0.18698203184557827,0.01218128723974005,228.78718636143026,476.2181970181271,0.03935804227969486,500,True,228.78718636143026
2,timing,counting,0.15,0.2,0.01,0.154987407687543,0.2947573178773655,0.0022744891713276333,275.1577695658749,568.9593634270163,0.1647531267605029,500,True,275.1577695658749
2,timing,timing,0.15,0.2,0.01,0.14141179139556037,0.20605561143634898,0.002661408607961104,248.09825682149165,514.8403379382498,0.1475219153539118,500,True,248.09825682149165
3,timing,counting,0.15,0.2,0.01,0.17958713938459503,0.26980171293793626,-0.008879577289906853,248.72576215219578,516.0953485996581,0.21365427566232587,500,True,248.72576215219578
3,timing,timing,0.15,0.2,0.01,0.14881502779140235,0.19145684979522606,0.013487832036451888,219.3015107908653,457.2468458769972,0.03181400500177145,500,True,219.3015107908653
4,timing,counting,0.15,0.2,0.01,0.1901838580056584,0.291053015092433,-0.017473522819119423,285.5636823532128,589.7711890016922,0.3455584617295253,500,True,285.5636823532128
4,timing,timing,0.15,0.2,0.01,0.1523790298616427,0.20339771540906113,0.002110029922426591,247.85624464644684,514.3563135881602,0.15728246582089755,500,True,247.85624464644684
